park_name,lat,long,average_visits
Saint Croix National Scenic Riverway,45.38917,-92.65735,488946
Denali National Park and Preserve,63.33333,-150.49972,481744
Montezuma Castle National Monument,34.61305,-111.83972,481590
Glacier Bay National Park and Preserve,58.5,-136.99996,480802
Fire Island National Seashore,40.69639,-72.98263,479796
Cape Lookout National Seashore,34.60528,-76.53624,471271
Wright Brothers National Memorial,36.01417,-75.66792,458100
Wolf Trap National Park for the Performing Arts,38.93694,-77.26184,442520
Governors Island National Monument,40.69139,-74.01589,433139
Redwood National Park,41.4771,-123.94482,432380
Virgin Islands National Park,18.33333,-64.73323,432377
Devils Tower National Monument,44.59028,-104.71502,430800
Colorado National Monument,39.04249,-108.68582,429510
Lassen Volcanic National Park,40.48297,-121.41452,425829
Pu'uhonua o Honaunau National Historical Park,19.42194,-155.91002,422964
Carlsbad Caverns National Park,32.1648,-104.40902,422600
Shiloh National Military Park,35.15188,-88.32981,421275
Fort Washington National Park,38.71083,-77.03304,407992
Jean Lafitte National Historical Park and Preserve,29.9425,-89.99398,405233
Vanderbilt Mansion National Historic Site,41.79611,-73.94174,387338
Fort Pulaski National Monument,32.02722,-80.89008,384832
Antietam National Battlefield,39.4803,-77.73945,379489
Boston African American National Historic Site,42.36,-71.06454,373084
Big Bend National Park,29.81874,-103.06042,359403
Washington Monument,38.88947,-77.03504,357525
Prince William Forest Park,38.58528,-77.3797,340156
Guilford Courthouse National Military Park,36.13139,-79.84623,319811
War in the Pacific National Historical Park,13.3,144.66694,314480
Channel Islands National Park,34.0394,-119.74212,307829
Great Sand Dunes National Park,37.7539,-105.54172,307125
Little Bighorn Battlefield National Monument,45.57028,-107.42722,307006
De Soto National Memorial,27.52389,-82.64429,294802
Kenai Fjords National Park,59.91666,-149.64982,291727
Fort Raleigh National Historic Site,35.93833,-75.70872,290546
Lincoln Home National Historic Site,39.79722,-89.64484,287817
Catoctin Mountain Park,39.64833,-77.46665,287190
Harpers Ferry National Historical Park,39.32278,-77.72952,279452
Fort Caroline National Memorial,30.38694,-81.50042,271737
Morristown National Historical Park,40.76694,-74.52842,267973
Kings Mountain National Military Park,35.13778,-81.38928,265717
San Juan Island National Historical Park,48.45583,-122.98532,265327
Flight 93 National Memorial,40.05615,-78.9076,264334
United States Marine Corps War Memorial,38.89047,-77.06946,259556
Appomattox Court House National Historical Park,37.37845,-78.80083,258617
Dinosaur National Monument,40.53333,-108.98302,255677
Little River Canyon National Preserve,34.44056,-85.59536,249448
Fort Frederica National Monument,31.22389,-81.39313,242284
New Bedford Whaling National Historical Park,41.63556,-70.92314,241203
Organ Pipe Cactus National Park,32.04444,-112.85752,240196
Stones River National Battlefield,35.87629,-86.43639,239662
Fort Donelson National Battlefield,36.48438,-87.85736,239540
Lewis and Clark National and State Historical Parks,46.13361,-123.87722,237531
Nez Perce National Historical Park,46.14194,-116.35912,231855
Pinnacles National Monument,36.48693,-121.16662,229210
Bighorn Canyon National Recreation Area,45.19444,-108.13032,229141
Voyageurs National Park,48.0996,-93.01663,227996
Craters of the Moon National Monument and Preserve,43.41667,-113.51642,223600
Adams National Historical Park,42.25639,-71.01119,222700
Fort Necessity National Battlefield,39.81667,-79.59956,222034
Cowpens National Battlefield,35.13667,-81.8179,219214
Wupatki National Monument,35.56556,-111.38662,217035
Natchez National Historical Park,31.54333,-91.38287,209678
Federal Hall,40.70722,-74.01014,204870
Abraham Lincoln Birthplace National Historical Park,37.5332,-85.7302,200759
Black Canyon of the Gunnison National Park,38.58491,-107.72792,198211
Sitka National Historical Park,57.04694,-135.31362,197510
Piscataway Park,38.67861,-77.09276,190765
Apostle Islands National Lakeshore,46.96528,-90.66402,188797
Petersburg National Battlefield,37.21944,-77.36123,188265
Bandelier National Monument,35.77888,-106.32082,183778
Guadalupe Mountains National Park,31.916,-104.85962,175588
Pennsylvania Avenue National Historic Site,38.89361,-77.02373,169864
Wilson's Creek National Battlefield,37.11556,-93.41984,169159
Greenbelt Park,38.98917,-76.89831,164923
Sunset Crater Volcano National Monument,35.36558,-111.50042,164215
John Day Fossil Beds National Monument,44.54987,-119.63412,163546
Richmond National Battlefield Park,37.42917,-77.37345,163015
Missouri National Recreational River,42.8625,-97.39263,158095
Home of Franklin D. Roosevelt National Historic Site,41.76721,-73.93539,153457
Theodore Roosevelt Island,38.89721,-77.06402,145559
Chamizal National Memorial,31.76778,-106.45402,144522
Allegheny Portage Railroad,40.45417,-78.5401,143806
Herbert Hoover National Historic Site,41.66861,-91.3479,140328
El Malpais National Monument,34.87635,-107.95752,138842
Johnstown Flood National Memorial,40.34556,-78.77847,133246
Big Thicket National Preserve,30.27567,-94.41082,132697
Walnut Canyon National Monument,35.17167,-111.50942,132383
Perry's Victory and International Peace Memorial,41.65417,-82.81124,130931
Lincoln Boyhood National Memorial,38.11833,-86.9968,130328
Lava Beds National Monument,41.71389,-121.50802,130159
Ocmulgee National Monument,32.83667,-83.60814,127877
Andersonville National Historic Site,32.19759,-84.12686,127810
Pu'ukohola Heiau National Historic Site,20.02667,-155.81972,127501
Scotts Bluff National Monument,41.83556,-103.70052,125941
George Washington Birthplace National Monument,38.18611,-76.93036,125351
George Rogers Clark National Historical Park,38.67919,-87.5354,124042
Congaree National Park,33.78333,-80.78308,121036
Coronado National Memorial,31.3455,-110.25602,119639
Petroglyph National Monument,35.13583,-106.76162,118956
Gauley River National Recreation Area,38.22,-80.88982,115039
Christiansted National Historic Site,17.74693,-64.70204,114023
Jewel Cave National Monument,43.72944,-103.82912,112085
